dates,lesson
"Tuesday, Nov 19th",Introduction to Variables: Strings - Lab
"Tuesday, Nov 19th",Introduction to Variables: Strings
"Tuesday, Nov 19th",Introduction to Variables: Variable Assignment
"Tuesday, Nov 19th",Your First Data Science Codealong!
"Tuesday, Nov 19th",Working with Lessons on Learn - Lab
"Tuesday, Nov 19th",Working with Lessons on Learn
"Tuesday, Nov 19th",The Data Science Process
"Monday, Nov 18th",Problems Data Science Can Solve
"Monday, Nov 18th",Introduction
"Monday, Nov 18th",Object Initialization
"Monday, Nov 18th",Introduction
"Monday, Nov 18th","A Deeper Dive into ""Self"""
"Monday, Nov 18th",Instance Methods
"Monday, Nov 18th",Classes and Instances
"Monday, Nov 18th",Introduction To Object Orientation
"Monday, Nov 18th",Introduction
"Monday, Nov 18th",Blogging
"Monday, Nov 18th",Welcome
"Sunday, Nov 10th",Applying Gradient Descent Lab
"Thursday, Nov 7th",Applying Gradient Descent
"Thursday, Nov 7th",Gradient To Cost Function
"Thursday, Nov 7th",Derivative Chain Rule
"Thursday, Nov 7th",Gradient in Gradient Descent
"Thursday, Nov 7th",Partial Derivatives Lab
"Thursday, Nov 7th",Partial Derivatives Gradient Descent
"Thursday, Nov 7th",Multivariable Functions
"Thursday, Nov 7th",Derivative Rules Lab
"Wednesday, Nov 6th",Derivative Rules
"Wednesday, Nov 6th",Nonlinear Derivatives Readme
"Wednesday, Nov 6th",Introduction To Derivatives Lab
"Wednesday, Nov 6th",Introduction To Derivatives
"Wednesday, Nov 6th",Expressing Functions
"Wednesday, Nov 6th",Why Math
"Wednesday, Nov 6th",Gradient Descent Step Sizes Lab
"Wednesday, Nov 6th",Gradient Descent Step Sizes
"Wednesday, Nov 6th",Gradient Descent
"Wednesday, Nov 6th",Evaluating Regression Lines Lab
"Wednesday, Nov 6th",Evaluating Regression Lines
"Tuesday, Nov 5th",Sigma Notation
"Tuesday, Nov 5th",Single Variable Regression Lab
"Tuesday, Nov 5th",Calculating Lines
"Tuesday, Nov 5th",Single Variable Regression
"Tuesday, Nov 5th",Plotly Lab
"Monday, Nov 4th",Plotly Basics
"Monday, Nov 4th",Nearest Neighbors Lab
"Monday, Nov 4th",Applying Nearest Neighbors
"Monday, Nov 4th",Nearest Neighbors Readme
"Monday, Nov 4th",Calculating Distance Lab
"Monday, Nov 4th",Calculating Distance
"Monday, Nov 4th",Visualizing In Python
"Monday, Nov 4th",Filter Lab Python
"Monday, Nov 4th",Map Readme
"Monday, Nov 4th",Filter Readme
"Monday, Nov 4th",Conditionals Python Lab
"Monday, Nov 4th",Conditionals Python Readme
"Sunday, Nov 3rd",Function Arguments Lab
"Sunday, Nov 3rd",Function Arguments Readme
"Sunday, Nov 3rd",Python Scope Readme
"Sunday, Nov 3rd",Introduction To Functions Lab
"Sunday, Nov 3rd",Defining Functions Readme
"Sunday, Nov 3rd",For Loops Lab
"Sunday, Nov 3rd",For Loops Readme
"Sunday, Nov 3rd",Plotting Data Lab
"Sunday, Nov 3rd",Plotting Data Readme
"Sunday, Nov 3rd",Python Dictionaries Lab
"Sunday, Nov 3rd",Excel To Python
"Sunday, Nov 3rd",Python Dictionaries Readme
"Sunday, Nov 3rd",Congratulations!
"Sunday, Nov 3rd",Lists With Maps
"Sunday, Nov 3rd",Python Lists Lab
"Sunday, Nov 3rd",Python Lists Readme
"Sunday, Nov 3rd",Jupyter Notebook Introduction
"Sunday, Nov 3rd",Python Variables Lab
"Sunday, Nov 3rd",Python Variables Readme
"Sunday, Nov 3rd",Python Practice With Datatypes
"Sunday, Nov 3rd",Python Numbers And Booleans
"Sunday, Nov 3rd",Python Intro To Strings
"Sunday, Nov 3rd",Instant Data Science
"Saturday, Nov 2nd",Introduction To Data Science
