dates,lesson
"Thursday, Jan 31st",Class Variables and Instance Methods
"Thursday, Jan 31st",Object Oriented Attributes with Functions
"Thursday, Jan 31st",Object Initialization
"Thursday, Jan 31st",Introduction
"Thursday, Jan 31st",Section Recap
"Thursday, Jan 31st",Object Attributes - Getter and Setter Methods
"Thursday, Jan 31st","A Deeper Dive into ""Self"""
"Thursday, Jan 31st",Instance Methods
"Thursday, Jan 31st",Classes and Instances
"Thursday, Jan 31st",Introduction To Object Orientation
"Thursday, Jan 31st",Introduction
"Wednesday, Jan 23rd",Section Recap
"Wednesday, Jan 23rd",Introduction
"Wednesday, Jan 23rd",Implementing Statistics with Functions - Lab
"Wednesday, Jan 23rd",Section Recap
"Wednesday, Jan 23rd",Using SQL with Pandas
"Wednesday, Jan 23rd",Grouping Data with SQL
"Wednesday, Jan 2nd",One-to-Many and Many-to-Many Joins
"Wednesday, Jan 2nd",Join Statements
"Wednesday, Jan 2nd",Filtering and Ordering - Lab
"Wednesday, Jan 2nd",Filtering and Ordering
"Wednesday, Jan 2nd",SQL Database Data Types
"Wednesday, Jan 2nd",SQL Database Basics
"Wednesday, Jan 2nd",Introduction
"Thursday, Dec 13th 2018",Dealing with Missing Data - Lab
"Thursday, Dec 13th 2018",Dealing With Missing Data - Quiz
"Thursday, Dec 13th 2018",Dealing with Missing Data
"Friday, Nov 23rd 2018",Pivot Tables with Pandas - Lab
"Tuesday, Nov 20th 2018",Pivot Tables with Pandas
"Tuesday, Nov 20th 2018",Combining DataFrames with Pandas - Lab
"Tuesday, Nov 20th 2018",Combining DataFrames with Pandas
"Tuesday, Nov 20th 2018","Split, Apply and Combine in Pandas"
"Tuesday, Nov 20th 2018",Lambda Functions - Lab
"Sunday, Nov 18th 2018",Lambda Functions
"Sunday, Nov 18th 2018",Introduction
"Sunday, Nov 18th 2018",Section Recap
"Sunday, Nov 18th 2018",Project - EDA with Pandas Using the Boston Housing Data
"Sunday, Nov 18th 2018",Kaggle and The Boston Housing Dataset
"Sunday, Nov 18th 2018",Data Visualization with Pandas
"Sunday, Nov 18th 2018",Customizing Visualizations with Matplotlib
"Sunday, Nov 11th 2018",Statistical Methods In Pandas - Lab
"Sunday, Nov 11th 2018",Statistical Methods In Pandas
"Sunday, Nov 11th 2018",Accessing Data within Pandas - Lab
"Saturday, Nov 10th 2018",Accessing Data within Pandas
"Monday, Oct 29th 2018",Understanding Pandas Series and DataFrames
"Monday, Oct 29th 2018",Importing Data Using Pandas - Lab
"Monday, Oct 29th 2018",Importing Data Using Pandas
"Sunday, Oct 28th 2018",Section Recap
"Sunday, Oct 28th 2018",Project - Building a Calculator
"Sunday, Oct 28th 2018",User Input/Output in Python
"Tuesday, Oct 16th 2018",Measures Of Dispersion - Quiz
"Tuesday, Oct 16th 2018",Measures Of Dispersion
"Tuesday, Oct 16th 2018",Measures Of Central Tendency - Quiz
"Tuesday, Oct 16th 2018",Measures Of Central Tendency
"Tuesday, Oct 16th 2018",Functions With Arguments - Lab
"Tuesday, Oct 16th 2018",Functions With Arguments
"Tuesday, Oct 16th 2018",Creating Functions - Lab
"Tuesday, Oct 16th 2018",Creating Functions
"Tuesday, Oct 16th 2018",Using Nested Loops - Lab
"Tuesday, Oct 16th 2018",Using Nested Loops
"Tuesday, Oct 16th 2018","While Loops, Break and Continue - Lab"
"Monday, Oct 15th 2018","While Loops, Break and Continue"
"Monday, Oct 15th 2018","Python Operators, Functions and Methods - Lab"
"Monday, Oct 15th 2018","Python Operators, Functions and Methods"
"Monday, Oct 15th 2018",Introduction
"Monday, Oct 15th 2018",Section Recap
"Saturday, Oct 13th 2018",Project - Analyzing Macbeth
"Saturday, Oct 13th 2018",Visualizing Data - Lab
"Saturday, Oct 13th 2018",Visualizing Data
"Saturday, Oct 13th 2018",Working With Dictionaries - Lab
"Saturday, Oct 13th 2018",Working With Dictionaries
"Saturday, Oct 13th 2018",Looping Over Collections - Lab
"Saturday, Oct 13th 2018",Looping Over Collections
"Saturday, Oct 13th 2018",Working With Lists - Lab
"Saturday, Oct 13th 2018",Working With Lists
"Wednesday, Oct 10th 2018",Control Flow: Conditionals - Lab
"Wednesday, Oct 10th 2018",Control Flow: Conditionals
"Wednesday, Oct 10th 2018",Variable Assignment - Lab
"Wednesday, Oct 10th 2018",Numeric Types - Lab
"Wednesday, Oct 10th 2018",Numeric Types
"Wednesday, Oct 10th 2018",Strings - Lab
"Wednesday, Oct 10th 2018",Strings
"Wednesday, Oct 10th 2018",Variable Assignment
"Wednesday, Oct 10th 2018",Your First Data Science Codealong!
"Wednesday, Oct 10th 2018",Working With Lessons On Learn - Lab
"Wednesday, Oct 10th 2018",Working With Lessons On Learn
"Tuesday, Oct 9th 2018",Setting Up a Professional DS Environment
"Tuesday, Oct 9th 2018",The Data Science Process
"Tuesday, Oct 9th 2018",Problems Data Science Can Solve
"Tuesday, Oct 9th 2018",Introduction
"Tuesday, Oct 9th 2018",Welcome
"Friday, Sep 28th 2018",Python Variables Lab
"Friday, Sep 28th 2018",Python Practice With Datatypes
"Friday, Sep 28th 2018",Python Numbers And Booleans
"Friday, Sep 28th 2018",Python Intro To Strings
"Friday, Sep 28th 2018",Instant Data Science
