program,cohort,pacing,past_cohorts,ed_coach_used,ed_coach_available,learn_url
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-061019,Pacing: Part Time,"Past Cohorts:
            online-web-pt-041519 - left on 2019-12-18 
online-web-pt-031119 - left on 2019-12-14 
",2,2,http://learn.co/marioadamojr
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-100719,Pacing: Part Time,,1,1,http://learn.co/mariosdimi
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,2,2,http://learn.co/morrm079
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,9,9,http://learn.co/maranatha1818
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,0,0,http://learn.co/guzamaguza
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,"Past Cohorts:
            online-web-pt-081219 - left on 2019-11-27 
",1,1,http://learn.co/mjmb1995
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,3,3,http://learn.co/markdenardo
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,1,1,http://learn.co/markdrehmann
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-100719,Pacing: Full Time,"Past Cohorts:
            online-web-ft-081219 - left on 2019-10-30 
",0,0,http://learn.co/markenright
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,3,3,http://learn.co/maharvey2
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,2,2,http://learn.co/mhern1415
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-031119,Pacing: Part Time,,4,4,http://learn.co/mkanko
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-081219,Pacing: Part Time,"Past Cohorts:
            online-web-pt-051319 - left on 2019-07-29 
online-web-ft-051319 - left on 2019-05-10 
online-web-ft-041519 - left on 2019-04-01 
",0,0,http://learn.co/cleansolllc
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-110419,Pacing: Part Time,"Past Cohorts:
            online-web-ft-081219 - left on 2019-11-26 
online-web-ft-071519 - left on 2019-07-16 
",0,0,http://learn.co/legomyrego
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-090819,Pacing: Part Time,"Past Cohorts:
            online-web-pt-090919 - left on 2019-09-07 
",3,3,http://learn.co/markwesley
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,1,1,http://learn.co/markpnoi26
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,3,3,http://learn.co/aruande
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,13,13,http://learn.co/marsbhoward
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-081219,Pacing: Part Time,,0,0,http://learn.co/hpmarsle
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/mmmeyers
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,,0,0,http://learn.co/mchaplin44
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,0,0,http://learn.co/martinmoy
Program: UX Design,Cohort: online-ux-pt-093019,Pacing: Part Time,"Past Cohorts:
            online-ux-pt-081919 - left on 2019-09-23 
",0,0,http://learn.co/martynas-v
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-110419,Pacing: Full Time,,1,1,http://learn.co/maryarbs
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-100719,Pacing: Full Time,,0,0,http://learn.co/miyekay94
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/mashapie23
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,7,7,http://learn.co/mashqalaoshi
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/masonellwood
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,5,5,http://learn.co/mat0829
Program: Online Data Science Bootcamp,Cohort: online-ds-pt-011419,Pacing: Part Time,"Past Cohorts:
            online-ds-ft-011419 - left on 2019-06-18 
online-ds-pt-011419 - left on 2019-04-21 
",3,3,http://learn.co/mgavish
Program: Online Data Science Bootcamp,Cohort: online-ds-ft-090919,Pacing: Full Time,,4,4,http://learn.co/menach123
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,,0,0,http://learn.co/matoyawilliams
Program: UX Design,Cohort: online-ux-pt-093019,Pacing: Part Time,"Past Cohorts:
            online-ux-pt-081919 - left on 2019-09-23 
",0,0,http://learn.co/27122f06-b51d-4790-bfb9-7539bcdb4a19
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,"Past Cohorts:
            online-ds-ft-031119 - left on 2019-06-06 
",2,2,http://learn.co/matthewcfreeman
Program: UX Design,Cohort: online-ux-ft-120219,Pacing: Full Time,,0,0,http://learn.co/1707e2b2-52d5-465c-b13a-17ef117d68ca
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,"Past Cohorts:
            online-web-ft-081219 - left on 2019-11-22 
",2,2,http://learn.co/mattpitner
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,,4,4,http://learn.co/bigcatplichta
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,1,1,http://learn.co/mfpucci
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,,1,1,http://learn.co/mpuchyr
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-090919,Pacing: Part Time,,2,2,http://learn.co/mttwright
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,"Past Cohorts:
            online-web-pt-090919 - left on 2019-09-06 
",1,1,http://learn.co/3mustard
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,,0,0,http://learn.co/nemostatus
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,8,8,http://learn.co/mcrooks65
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,2,2,http://learn.co/mattdeblock-lv
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/mjfloresta
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/matthallquist
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-110419,Pacing: Part Time,"Past Cohorts:
            online-web-pt-100719 - left on 2019-10-26 
online-web-pt-090919 - left on 2019-09-07 
",0,0,http://learn.co/red-trinket
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,2,2,http://learn.co/lithiumsquid
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,3,3,http://learn.co/mattmcdo
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,1,1,http://learn.co/monstott
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/preiser
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,"Past Cohorts:
            online-web-ft-081219 - left on 2019-10-22 
",1,1,http://learn.co/mattream15
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,,2,2,http://learn.co/mattrob77
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-090819,Pacing: Part Time,"Past Cohorts:
            online-web-pt-090919 - left on 2019-09-07 
",0,0,http://learn.co/matthewpalmer9
Program: UI Design,Cohort: online-ui-ft-093019,Pacing: Full Time,,0,0,http://learn.co/16aaaa95-6142-4c1b-bae4-1145f6677d6b
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,0,0,http://learn.co/mattwilson219
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,"Past Cohorts:
            beta-sinatra-071618-part-time - left on 2018-09-12 
",19,19,http://learn.co/argonity
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-110419,Pacing: Full Time,"Past Cohorts:
            online-web-ft-081219 - left on 2019-10-29 
",1,1,http://learn.co/merkonical
Program: UI Design,Cohort: online-ui-pt-093019,Pacing: Part Time,,0,0,http://learn.co/e9400639-4fb6-457e-90e0-a159d47048ed
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,0,0,http://learn.co/c2c40cf5-cbb6-4b29-a7aa-122ad5060cd3
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-120919,Pacing: Full Time,"Past Cohorts:
            online-web-ft-090919 - left on 2019-12-14 
online-web-pt-090919 - left on 2019-09-07 
",2,2,http://learn.co/maynardhartman
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,3,3,http://learn.co/mckayanhder
Program: UI Design,Cohort: online-ui-ft-093019,Pacing: Full Time,,0,0,http://learn.co/656fc536-7c36-4106-a986-955421ab51f9
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/meagancampbell
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-110419,Pacing: Part Time,"Past Cohorts:
            online-web-pt-081219 - left on 2019-10-30 
online-web-pt-071519 - left on 2019-07-16 
",0,0,http://learn.co/mutsey
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-041519,Pacing: Part Time,"Past Cohorts:
            online-web-pt-031119 - left on 2019-03-07 
",4,4,http://learn.co/mokolita
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,1,1,http://learn.co/meganraec
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/megdeb
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/meganwright
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,,0,0,http://learn.co/megfly
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,18,18,http://learn.co/meg-gutshall
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,9,9,http://learn.co/mehwisha
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,2,2,http://learn.co/meikay
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-120919,Pacing: Full Time,,0,0,http://learn.co/meliajm
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,2,2,http://learn.co/burkmeli
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,2,2,http://learn.co/melisabardhi
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-100719,Pacing: Part Time,,0,0,http://learn.co/melchr
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-110319,Pacing: Part Time,"Past Cohorts:
            online-web-pt-110419 - left on 2019-12-10 
",1,1,http://learn.co/thecodingbarista
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-110319,Pacing: Part Time,"Past Cohorts:
            online-web-pt-110419 - left on 2019-12-10 
",1,1,http://learn.co/mahdesignstudio
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,"Past Cohorts:
            v-000 - left on 2019-04-08 
online-web-sp-000 - left on 2019-04-09 
v-000 - left on 2019-04-09 
online-web-sp-000 - left on 2019-04-10 
v-000 - left on 2019-04-10 
online-web-sp-000 - left on 2019-04-11 
v-000 - left on 2019-04-12 
online-web-sp-000 - left on 2019-04-13 
v-000 - left on 2019-04-14 
v-000 - left on 2019-04-13 
online-web-sp-000 - left on 2019-04-14 
online-web-sp-000 - left on 2019-04-15 
v-000 - left on 2019-04-15 
online-web-sp-000 - left on 2019-04-16 
v-000 - left on 2019-04-16 
online-web-sp-000 - left on 2019-04-17 
v-000 - left on 2019-04-17 
online-web-sp-000 - left on 2019-04-18 
v-000 - left on 2019-04-18 
online-web-sp-000 - left on 2019-04-19 
v-000 - left on 2019-04-19 
online-web-sp-000 - left on 2019-04-20 
v-000 - left on 2019-04-20 
v-000 - left on 2019-04-21 
online-web-sp-000 - left on 2019-04-22 
v-000 - left on 2019-04-22 
online-web-sp-000 - left on 2019-04-21 
online-web-sp-000 - left on 2019-04-23 
v-000 - left on 2019-04-23 
online-web-sp-000 - left on 2019-04-24 
v-000 - left on 2019-04-24 
online-web-sp-000 - left on 2019-04-25 
v-000 - left on 2019-04-25 
online-web-sp-000 - left on 2019-04-26 
v-000 - left on 2019-04-26 
online-web-sp-000 - left on 2019-04-27 
v-000 - left on 2019-04-27 
online-web-sp-000 - left on 2019-04-28 
v-000 - left on 2019-04-28 
online-web-sp-000 - left on 2019-04-29 
v-000 - left on 2019-04-29 
online-web-sp-000 - left on 2019-04-30 
v-000 - left on 2019-04-30 
online-web-sp-000 - left on 2019-05-01 
v-000 - left on 2019-05-01 
v-000 - left on 2019-05-02 
online-web-sp-000 - left on 2019-05-02 
online-web-sp-000 - left on 2019-05-03 
v-000 - left on 2019-05-03 
online-web-sp-000 - left on 2019-05-04 
v-000 - left on 2019-05-04 
online-web-sp-000 - left on 2019-05-05 
v-000 - left on 2019-05-05 
online-web-sp-000 - left on 2019-05-06 
v-000 - left on 2019-05-06 
online-web-sp-000 - left on 2019-05-07 
v-000 - left on 2019-05-07 
v-000 - left on 2019-05-08 
online-web-sp-000 - left on 2019-05-09 
online-web-sp-000 - left on 2019-05-08 
v-000 - left on 2019-05-09 
online-web-sp-000 - left on 2019-05-10 
v-000 - left on 2019-05-10 
online-web-sp-000 - left on 2019-05-11 
v-000 - left on 2019-05-11 
online-web-sp-000 - left on 2019-05-12 
v-000 - left on 2019-05-12 
online-web-sp-000 - left on 2019-05-13 
v-000 - left on 2019-05-13 
online-web-sp-000 - left on 2019-05-14 
v-000 - left on 2019-05-14 
online-web-sp-000 - left on 2019-05-15 
v-000 - left on 2019-05-15 
online-web-sp-000 - left on 2019-05-16 
v-000 - left on 2019-05-16 
online-web-sp-000 - left on 2019-05-17 
v-000 - left on 2019-05-17 
online-web-sp-000 - left on 2019-05-18 
v-000 - left on 2019-05-18 
v-000 - left on 2019-05-19 
online-web-sp-000 - left on 2019-05-20 
v-000 - left on 2019-05-20 
online-web-sp-000 - left on 2019-05-19 
online-web-sp-000 - left on 2019-05-21 
v-000 - left on 2019-05-21 
online-web-sp-000 - left on 2019-05-22 
v-000 - left on 2019-05-22 
",6,6,http://learn.co/melzreal
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/melrudick
